Time,X,Y,Z,VX,VY,VZ,QW,QX,QY,QZ,Mass,MLC,FT,FM,WX,WY,PH,RCS_PP,RCS_PN,RCS_YP,RCS_YN
0.0,0.0,0.0,800.0,0.0,0.0,0.0,0.9990482215818578,0.0,0.043619387365336,0.0,70.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.00022663522515262163,0.0,0.0,799.9999997480619,0.0,0.0,-0.002223291558747218,0.9990482215818578,0.0,0.043619387365336,0.0,70.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.002492987476678838,0.0,0.0,799.999969515491,0.0,0.0,-0.024456207029407602,0.9990482215818578,0.0,0.043619387365336,0.0,70.0,0.0,0,0.0,0.0,0.0,1,0.0,0.0,0.0,0.0
0.025156509991941,-3.48943651751199e-11,0.0,799.996895871681,0.0,0.0,-0.2467852193315645,0.9990482215815013,0.0,0.043619387373501343,0.0,70.0,0.0,0,0.0,0.0,3.790232227968765e-09,1,0.0,0.0,0.0,0.0
0.09679185283029713,-1.32754902348875e-08,0.0,799.9540469083292,0.0,0.0,-0.9495198905719405,0.9990482214462256,0.0,0.04361939047182327,0.0,70.0,0.0,0,0.0,0.0,2.5901689464326076e-07,1,0.0,0.0,0.0,0.0
0.19679185283029715,-2.2897792908982417e-07,0.0,799.8100473060625,0.0,0.0,-1.9304592820668582,0.9990482192424496,0.0,0.04361944094656059,0.0,70.0,0.0,0,0.0,0.0,2.182334151746943e-06,1,0.0,0.0,0.0,0.0
0.2967918528302972,-1.1856130520682129e-06,0.0,799.5679587069875,0.0,0.0,-2.911292098952747,0.9990482094687249,0.0,0.04361966480080938,0.0,70.0,0.0,0,0.0,0.0,7.48703109469925e-06,1,0.0,0.0,0.0,0.0
0.39679185283029716,-3.7882680044010186e-06,0.0,799.227794554719,0.0,0.0,-3.8919642052660732,0.9990481828777319,0.0,0.043620273826536236,0.0,70.0,0.0,0,0.0,0.0,1.788991038367134e-05,1,0.0,0.0,0.0,0.0
0.49679185283029714,-9.308393036505658e-06,0.0,798.7895737373809,0.0,0.0,-4.872421489402045,0.9990481264780819,0.0,0.04362156554543158,0.0,70.0,0.0,0,0.0,0.0,3.5106622136581224e-05,1,0.0,0.0,0.0,0.0
0.5967918528302971,-1.9383556730867557e-05,0.0,798.2533205847543,0.0,0.0,-5.852609872312296,0.9990480235348238,0.0,0.043623923151892216,0.0,70.0,0.0,0,0.0,0.0,6.0851718836931444e-05,1,0.0,0.0,0.0,0.0
0.6967918528302971,-3.601723189461392e-05,0.0,797.61906486463,0.0,0.0,-6.832475315694221,0.999047853567529,0.0,0.04362781546345453,0.0,70.0,0.0,0,0.0,0.0,9.683891076298461e-05,1,0.0,0.0,0.0,0.0
0.7967918528302971,-6.157865941444629e-05,0.0,796.8868417783751,0.0,0.0,-7.811963830169853,0.9990475923443144,0.0,0.04363379688989703,0.0,70.0,0.0,0,0.0,0.0,0.00014478157204661713,1,0.0,0.0,0.0,0.0
0.896791852830297,-9.88028478524916e-05,0.0,796.0566919557357,0.0,0.0,-8.791021483452202,0.9990472118697948,0.0,0.04364250743471753,0.0,70.0,0.0,0,0.0,0.0,0.00020639354727491086,1,0.0,0.0,0.0,0.0
0.996791852830297,-0.00015079077700030918,0.0,795.1286614488946,0.0,0.0,-9.769594408496936,0.9990466803645925,0.0,0.04365467274516775,0.0,70.0,0.0,0,0.0,0.0,0.00028339030836980203,1,0.0,0.0,0.0,0.0
1.0967918528302971,-0.00022100988400727828,0.0,794.1028017258117,0.0,0.0,-10.747628811637348,0.9990459622336584,0.0,0.0436711042294969,0.0,70.0,0.0,0,0.0,0.0,0.0003774905113469278,1,0.0,0.0,0.0,0.0
1.1967918528302972,-0.0003132949210694347,0.0,792.9791696628727,0.0,0.0,-11.725070980700504,0.9990450180202867,0.0,0.04369269926251937,0.0,70.0,0.0,0,0.0,0.0,0.0004904180024943883,1,0.0,0.0,0.0,0.0
1.2967918528302973,-0.00043184928401909795,0.0,791.7578275368809,0.0,0.0,-12.701867293102506,0.9990438043423198,0.0,0.04372044150308399,0.0,70.0,0.0,0,0.0,0.0,0.0006239043235597866,1,0.0,0.0,0.0,0.0
1.3967918528302974,-0.0005812469215151495,0.0,790.4388430164252,0.0,0.0,-13.677964223920798,0.9990422738066418,0.0,0.04375540134948926,0.0,70.0,0.0,0,0.0,0.0,0.0007796917657279764,1,0.0,0.0,0.0,0.0
1.4967918528302975,-0.0007664349449306718,0.0,789.022289152665,0.0,0.0,-14.653308353941469,0.9990403748976453,0.0,0.04379873656136862,0.0,70.0,0.0,0,0.0,0.0,0.0009595370225548247,1,0.0,0.0,0.0,0.0
1.5967918528302976,-0.0009927370695003435,0.0,787.5082443695758,0.0,0.0,-15.627846377679473,0.9990380518349132,0.0,0.04385169307907253,0.0,70.0,0.0,0,0.0,0.0,0.0011652154926403287,1,0.0,0.0,0.0,0.0
1.6967918528302977,-0.0012658580278732678,0.0,785.8967924536998,0.0,0.0,-16.601525111369746,0.9990352443948829,0.0,0.043915606074111636,0.0,70.0,0.0,0,0.0,0.0,0.0013985262837279638,1,0.0,0.0,0.0,0.0
1.7967918528302977,-0.0015918891079713948,0.0,784.1880225434594,0.0,0.0,-17.57429150092718,0.9990318876907438,0.0,0.04399190126681307,0.0,70.0,0.0,0,0.0,0.0,0.001661297971160506,1,0.0,0.0,0.0,0.0
1.8967918528302978,-0.001977314978038963,0.0,782.3820291180842,0.0,0.0,-18.54609262987343,0.9990279119042454,0.0,0.04408209654999701,0.0,70.0,0.0,0,0.0,0.0,0.001955395165264171,1,0.0,0.0,0.0,0.0
1.996791852830298,-0.002429021973064799,0.0,780.4789119862204,0.0,0.0,-19.516875727228538,0.9990232419624545,0.0,0.04418780396022384,0.0,70.0,0.0,0,0.0,0.0,0.0022827259443352925,1,0.0,0.0,0.0,0.0
2.096791852830298,-0.002954308028443181,0.0,778.4787762742868,0.0,0.0,-20.486588175365377,0.9990177971517772,0.0,0.044310732041016695,0.0,70.0,0.0,0,0.0,0.0,0.002645250212533791,1,0.0,0.0,0.0,0.0
2.196791852830298,-0.0035608944589108626,0.0,776.381732414658,0.0,0.0,-21.45517751782494,0.9990114906607384,0.0,0.04445268864545628,0.0,70.0,0.0,0,0.0,0.0,0.003044989045216735,1,0.0,0.0,0.0,0.0
2.296791852830298,-0.004256939793558012,0.0,774.1878961337572,0.0,0.0,-22.42259146709048,0.9990042290420657,0.0,0.04461558422870551,0.0,70.0,0.0,0,0.0,0.0,0.0034840350881495483,1,0.0,0.0,0.0,0.0
2.3967918528302983,-0.005051055891180989,0.0,771.8973884401528,0.0,0.0,-23.388777912318556,0.9989959115835355,0.0,0.04480143568438299,0.0,70.0,0.0,0,0.0,0.0,0.003964564081693168,1,0.0,0.0,0.0,0.0
2.4967918528302984,-0.005952326574544142,0.0,769.5103356127654,0.0,0.0,-24.35368492702501,0.9989864295757764,0.0,0.04501237078230519,0.0,70.0,0.0,0,0.0,0.0,0.004488847586569535,1,0.0,0.0,0.0,0.0
2.5967918528302985,-0.006970329037392031,0.0,767.0268691893016,0.0,0.0,-25.31726077672401,0.9989756654637574,0.0,0.04525063326899818,0.0,70.0,0.0,0,0.0,0.0,0.0050592669942481445,1,0.0,0.0,0.0,0.0
2.6967918528302985,-0.008115158294441482,0.0,764.4471259550481,0.0,0.0,-26.279453926518148,0.9989634918669822,0.0,0.045518588696586273,0.0,70.0,0.0,0,0.0,0.0,0.005678328912472509,1,0.0,0.0,0.0,0.0
2.7967918528302986,-0.009397454962246782,0.0,761.7712479321751,0.0,0.0,-27.240213048637795,0.9989497704514223,0.0,0.045818731050247315,0.0,70.0,0.0,0,0.0,0.0,0.006348682025064132,1,0.0,0.0,0.0,0.0
2.8967918528302987,-0.010828436677928821,0.0,758.999382369719,0.0,0.0,-28.19948702992775,0.9989343506338966,0.0,0.046153690249436795,0.0,70.0,0.0,0,0.0,0.0,0.0070731355350179825,1,0.0,0.0,0.0,0.0
2.996791852830299,-0.01241993348346146,0.0,756.1316817344361,0.0,0.0,-29.15722497927937,0.998917068096899,0.0,0.04652624060358441,0.0,70.0,0.0,0,0.0,0.0,0.007854679311161293,1,0.0,0.0,0.0,0.0
3.096791852830299,-0.014184427525688215,0.0,753.1683037027506,0.0,0.0,-30.11337623500632,0.9988977430887122,0.0,0.046939310309022216,0.0,70.0,0.0,0,0.0,0.0,0.00869650587142063,1,0.0,0.0,0.0,0.0
3.196791852830299,-0.01613509744666372,0.0,750.1094111540419,0.0,0.0,-31.067890372162104,0.9988761784799504,0.0,0.04739599208058155,0.0,70.0,0.0,0,0.0,0.0,0.009602034350175323,1,0.0,0.0,0.0,0.0
3.296791852830299,-0.01828586786544864,0.0,746.9551721655662,0.0,0.0,-32.020717209797596,0.9988521575433618,0.0,0.047899555018671616,0.0,70.0,0.0,0,0.0,0.0,0.010574936613425049,1,0.0,0.0,0.0,0.0
3.396791852830299,-0.020651464381282514,0.0,743.7057600093383,0.0,0.0,-32.97180681815676,0.9988254414186829,0.0,0.048453457820806255,0.0,70.0,0.0,0,0.0,0.0,0.011619165703735545,1,0.0,0.0,0.0,0.0
3.4967918528302993,-0.023247474559246722,0.0,740.3613531513572,0.0,0.0,-33.9211095258088,0.9987957662184525,0.0,0.04906136345556196,0.0,70.0,0.0,0,0.0,0.0,0.01273898681733291,1,0.0,0.0,0.0,0.0
3.5967918528302993,-0.026090415393212496,0.0,736.922135253613,0.0,0.0,-34.868575926715046,0.9987628397238141,0.0,0.049727155426920584,0.0,70.0,0.0,0,0.0,0.0,0.013939011038492934,1,0.0,0.0,0.0,0.0
3.6967918528302994,-0.029197807777099793,0.0,733.3882951793838,0.0,0.0,-35.814156887228734,0.9987263376113046,0.0,0.05045495576797067,0.0,70.0,0.0,0,0.0,0.0,0.015224232081732611,1,0.0,0.0,0.0,0.0
3.7967918528302995,-0.032588258554239885,0.0,729.7600270024086,0.0,0.0,-36.75780355302612,0.9986858991422257,0.0,0.051249144915111546,0.0,70.0,0.0,0,0.0,0.0,0.016600066320488664,1,0.0,0.0,0.0,0.0
