baseline_ignition_altitude,ascent_twr,descent_velocity,current_altitude,vertical_acceleration,lateral_velocity_x,lateral_velocity_y,lateral_position_x,lateral_position_y,pitch_angle,roll_angle,yaw_angle,omega_x,omega_y,omega_z,inferred_mass,inferred_drag_coeff,estimated_drag_area,air_density,ambient_temp,wind_speed,dynamic_pressure,time_since_apogee,thrust_available,burn_time_remaining,predicted_ignition_altitude,rocket_class,fault_type,TARGET_correction
77,7.322268749895413,-34.94567130572672,1079.7571891739858,-9.68200126055989,-0.007336553248219723,0.10666539513672964,2.085055548315876,4.162309285605782,-0.20462725140587282,-0.19239694814372707,-0.11269836500842056,0.03140297505973636,-0.06945716633145432,-0.20910279380262353,27.072141134280443,0.1610808996454553,0.003946371706496226,1.070968454892608,17.206301641806405,-0.7363418826870826,650.8704810808714,5.0,1980.1806869205134,3.2904180608409974,12.298835281428252,Large,wind_gust,3
77,6.946282761653421,-34.3177416153005,1088.2664746434,-9.754600601865635,0.06559149481615874,0.2645283116845832,-5.045426714325538,-7.916471067684437,-0.15127227324625564,-0.21781210275888763,-0.1847885590923447,0.015950518971766775,-0.07936050440469991,-0.20742657097567788,26.744715413316037,0.24438742297966787,0.0039267240773665744,1.070968454892608,15.554596064217822,-0.4143317802091485,650.8704810808714,5.0,1739.9941398180813,3.2904180608409974,12.298835281428252,Large,mass_loss,-4
77,7.352982704659537,-34.28135342472707,1082.218353185441,-10.165645599681083,0.36365170263993774,0.37004904136291716,-7.870776434720273,3.189764716124449,-0.2921784451789355,-0.13743097536589313,-0.16414279626987988,0.032598513508777224,-0.07420373895205734,-0.2054419353970688,21.989179876897254,0.18595968542366234,0.0035828129436008874,1.070968454892608,15.966948002565061,3.588561686017172,650.8704810808714,5.0,1679.6938463030813,3.2904180608409974,12.298835281428252,Large,mass_loss,-4
77,7.9633025727148805,-35.122872856616155,1081.0928613545086,-10.093438690030512,0.27462063531062225,0.09862533289790533,-2.648801018835194,2.5663371655667806,-0.18510341662053773,-0.14247277014909518,-0.152557308918145,0.02147981016626016,-0.07197606288920581,-0.22340600928327928,26.40783293723868,0.21305276360899447,0.0036062163991824963,1.070968454892608,13.575426202978058,-2.8307414841008285,650.8704810808714,5.0,1760.525175311435,3.2904180608409974,12.298835281428252,Large,mass_loss,-4
77,7.1683941117740755,-35.120631493233454,1083.3124941621943,-10.271100836366681,-0.19882149401346402,-0.04394184202248486,-4.23008508227853,-4.112446843900312,-0.13562094293597604,-0.14065567564060805,-0.13954295538557804,0.023914780780426068,-0.05568482062851962,-0.2230356486492136,28.600904288241683,0.2987285598476743,0.00431264520581824,1.070968454892608,10.164778032521864,-1.5252539284303033,650.8704810808714,5.0,1960.0727890145463,3.2904180608409974,12.298835281428252,Large,wind_gust,3
77,7.118056053726867,-34.171729888013,1085.5202591720515,-9.674266182515405,-0.2641922455589308,0.023068484575371428,-2.4671624110166332,4.615813041709764,-0.10462704640401663,-0.1472255488939707,-0.11699743693727051,0.021101038663912414,-0.061564114031593176,-0.22099959516871115,28.87978792948272,0.15426545343693615,0.0038280420617601285,1.070968454892608,13.722725716002225,-0.7765287979532283,650.8704810808714,5.0,1857.6240667638706,3.2904180608409974,12.298835281428252,Large,drag_change,6
77,8.109542524763729,-34.665550777447116,1081.4586159698292,-10.096563814501211,0.003910169929965279,0.11333087759192746,0.3141229986659121,2.5079818267308625,-0.19730456373395838,-0.18187387098872865,-0.06921412510785563,0.014108120103607782,-0.06696786336161038,-0.2077132233316805,27.37230799884298,0.18866387722253192,0.003839756309318572,1.070968454892608,16.249975400653774,-3.699605874328463,650.8704810808714,5.0,1914.0479134862894,3.2904180608409974,12.298835281428252,Large,mass_loss,-4
77,8.107115998257456,-34.62682128702344,1080.3272415658898,-9.872936899577166,-0.29240450106819643,0.2361253811227356,5.79297789503702,-4.103411591758553,-0.14178848762572366,-0.17026597332891472,-0.07635164622455287,0.04372436145877731,-0.07050886251791294,-0.216308221445533,23.436563125511412,0.1592094857517281,0.00357658298409135,1.070968454892608,14.72690441936164,0.5533815986600381,650.8704810808714,5.0,1765.1307100445538,3.2904180608409974,12.29883528142825,Large,mass_loss,-7
77,7.9212350839069074,-34.27772329557713,1081.9636101809945,-9.878678039340366,0.835181413946951,-0.009356039450053252,-0.05791659890996852,0.9529935255726141,-0.15960850860950848,-0.20835007881437723,-0.08714818606932313,0.005314135694741845,-0.06469099372002171,-0.2082645616928064,27.81974575756936,0.17623713257997622,0.0033847324048087066,1.070968454892608,12.417558275808304,-4.6361364963756575,650.8704810808714,5.0,1917.634660757163,3.2904180608409974,12.298835281428252,Large,thrust_var,6
77,7.648958901260811,-33.98226901132772,1083.1717560061854,-10.141184830447402,0.31722705265871287,0.01540825784389061,4.362235788302265,5.330992720488691,-0.23790769890927868,-0.12180478946714247,-0.07219855622644941,0.018717387907392552,-0.0650104901591757,-0.206198784892157,28.159205391085454,0.24359569944061965,0.004122450198417975,1.070968454892608,14.059213215209615,2.661762655944171,650.8704810808714,5.0,2039.7193505729617,3.2904180608409974,12.298835281428252,Large,thrust_var,3
12,17.984129042098285,-40.30687914796533,529.9111850824996,-10.104700022610054,0.0045429834779592854,0.13262220506001943,5.24009871997476,-3.1428487373785323,-0.12623419213333462,-0.06120716163653335,0.15813044838471543,-0.21184406687417656,0.4619093594792661,-0.04591330745137729,24.830733731535503,0.11938863464127383,0.003929674271262704,1.12088368894145,31.806449243166995,0.7545925309208183,952.6369768448887,5.0,3961.6417649608816,4.640763337373659,7.289584802045499,Large,thrust_var,0
12,16.134655923034455,-41.52502739335578,525.8243054323603,-10.323134387104483,-0.08419646260224616,-0.18119277584932442,-2.7462645368215095,5.48398127220702,0.0016463529255346526,-0.0026708748173290414,0.18050162989418322,-0.22321099417395301,0.4971221637714995,-0.041893203176192245,25.63105785866214,0.2772237419353896,0.0037137871978436044,1.12088368894145,31.126100618191312,1.2156770806696091,952.6369768448887,5.0,3848.4102518209343,4.640763337373659,7.289584802045499,Large,thrust_var,0
12,17.77849341348972,-42.20462992688685,526.8807439105251,-10.152789776834112,0.08429756032050979,-0.18680985594617813,-1.0406112517863761,-2.465004673294164,-0.13347749276958606,0.06472956116904448,0.21457217657080557,-0.23538618013286466,0.4742478291451023,-0.03966184317750536,25.435798955612988,0.23148144209618063,0.003292627280402599,1.12088368894145,28.153273452027307,1.4945872102465236,952.6369768448887,5.0,3771.168999377325,4.640763337373659,7.289584802045499,Large,wind_gust,2
12,15.76971371941879,-41.502447768605265,529.2716653913337,-10.305475812105804,-0.4602195356096783,0.10892088100119261,5.721857677373418,4.289323293942331,-0.1353521483992832,-0.044850908884674565,0.18042274522347876,-0.19591723291938207,0.4498018409047998,-0.05116218935114068,21.200427942071364,0.1937737376203158,0.0035183791461349877,1.12088368894145,33.32307752842326,-1.7065198840759535,952.6369768448887,5.0,3110.8589794661675,4.640763337373659,7.289584802045499,Large,mass_loss,0
12,17.032983058258836,-41.826916261732364,528.7256707596424,-10.181384473180207,-0.20974397342757517,-0.0026451138737422944,-10.450088743151397,8.852157582833593,-0.11946388038222157,0.06244010888680617,0.22741346934632442,-0.21487827629925824,0.4609187963217442,-0.04069661111099679,22.918581851534498,0.243627079571524,0.004004700840710689,1.12088368894145,28.318872071270604,-1.3284548866088455,952.6369768448887,5.0,3565.0332513939848,4.640763337373659,7.2895848020455,Large,mass_loss,-2
12,17.252536391775674,-41.66831994724898,525.6008741432851,-10.504848589021117,-0.47593908552790026,-0.12665315248529904,7.2187360484288075,-9.574536848047611,-0.06141203154414124,0.06066642903324345,0.22445604198373462,-0.2211253505328146,0.45420961250529845,-0.03511911997329549,23.77112554760223,0.07704033189607258,0.003610870595043306,1.12088368894145,27.585420067603753,2.7176332666654575,952.6369768448887,5.0,3607.0928336201014,4.640763337373659,7.289584802045499,Large,wind_gust,0
