ascent_twr,descent_velocity,current_altitude,inferred_mass,inferred_drag_coeff,ambient_temp,wind_speed,Predicted_ignition_altitude,TARGET_optimal_ignition_altitude,true_mass,true_drag_mult
1.6989466530750934,-1.1784523480961593,51.21722492803275,49.97439074671808,0.6734051954777097,288.15,5.0,48.925558261366085,54.5366693724772,49.94904467767825,1.0
1.6989466530750934,-20.621315985061752,29.297871400572728,49.96545069125306,0.7564256901151661,288.15,5.0,27.00620473390606,23.72842695612828,49.94904467767825,1.0
1.6989466530750934,-1.0266125880422294,61.597558257417404,49.765234073984445,0.7402997074164284,288.15,5.0,59.30589159075074,62.25033603519519,49.872482608205665,1.0
1.6989466530750934,-20.501542894910656,39.92170859403737,49.76389714644837,0.7874318201539436,288.15,5.0,37.630041927370705,28.130041927370705,49.872482608205665,1.0
1.6989466530750934,-1.1088333377246105,67.66962232993356,50.155715226349905,0.7501523381832327,288.15,5.0,65.37795566326689,71.2072574373298,50.16178416477603,1.0
1.6989466530750934,-20.549731304522748,45.899322407436244,50.146368400483325,0.8373926499156509,288.15,5.0,43.60765574076958,34.54806862594361,50.16178416477603,1.0
1.6989466530750934,-1.1235880027695706,60.82931823742316,49.8589568425702,0.7253142864672916,288.15,5.0,58.537651570756495,62.14876268186761,49.892460558227036,1.0
1.6989466530750934,-20.710536534307273,38.71000126444418,49.87079249486174,0.6626596563785242,288.15,5.0,36.418334597777516,27.36277904222196,49.892460558227036,1.0
1.6989466530750934,-1.2143458681024737,66.21537588383306,49.87595560540232,0.7839425312337616,288.15,5.0,63.9237092171664,71.31259810605528,49.9241190607897,1.0
1.6989466530750934,-20.683477754846013,44.16808942947731,49.87077080947681,0.8394603260816952,288.15,5.0,41.87642276281065,33.265311651699534,49.9241190607897,1.0
