rocket_class,ascent_twr,descent_velocity,current_altitude,inferred_mass,inferred_drag_coeff,wind_speed,baseline_ignition_altitude,fault_type,TARGET_correction
Large,7.218167115469537,-78.32972260691518,1179.3810543165255,27.045562519181672,0.621146615781978,12.923337818168829,10,mass_loss,6
Large,6.988596788183789,-78.08313584685668,1177.7356191335584,27.71534825188821,0.575571950289692,16.697198555641904,10,mass_loss,6
Large,7.278841888512501,-78.08320253910917,1176.5505800544179,27.550310119759427,0.5850623529510772,30.191075319073757,10,wind_gust,0
Large,7.496411621345303,-77.83010433655521,1176.9187258276659,23.55104948738814,0.65980487146984,11.91635886329811,10,thrust_var,0
Large,6.855504754675055,-77.91023362485019,1177.2500566666774,27.21324619737107,0.6097554847611815,12.442040366131243,10,thrust_var,0
Large,7.797608660112607,-77.80534479647142,1177.2584614669508,27.690712201690577,0.6327090671490607,14.943732440868747,10,mass_loss,0
Large,7.959983181572959,-78.83293402329953,1180.8369073044105,25.025832374275375,0.6404636524229865,9.624067429892266,10,thrust_var,0
Large,7.776090808433021,-77.87318712408154,1181.927765019163,28.601127314180335,0.8189485385258021,17.945774265563802,10,wind_gust,0
Large,6.903422826923792,-78.41138800179289,1178.8172619860727,29.477227689139156,0.7223074389131316,20.81738358226155,10,wind_gust,0
Large,7.9633025727148805,-78.53011996516634,1177.3199093076096,27.419940961761366,0.6684829921629346,13.650144405943397,10,mass_loss,0
Large,16.401390284393013,-41.24739916464611,747.3133002153638,13.059360701497672,0.48027311275859697,23.397442852599205,14,wind_gust,-4
Large,14.65683560280842,-41.376770613652624,749.2722315797912,12.173227942161844,0.6143959606175908,17.551569017093282,14,mass_loss,-2
Large,15.56290082433347,-41.90958435980921,745.2475272220044,13.575802104634604,0.5466538432530433,16.370458061051668,14,thrust_var,0
Large,15.900693152950522,-41.52941708321377,745.912594744107,13.356045743758477,0.9149532969944839,13.764368235075445,14,drag_change,-4
Large,13.825833835144023,-41.30040658365902,744.673592006466,13.41854922963856,0.5396650070000703,30.565689581045017,14,wind_gust,-2
Large,15.864090627587286,-40.89802958651732,747.2094997019316,11.767326449179006,0.5332294563955748,15.084907893276746,14,thrust_var,0
Large,16.009981933812824,-40.06510671292737,746.1492175182605,12.97322650211811,0.6055515560961023,15.983881135413592,14,drag_change,-2
Large,15.069360729674958,-41.281806247548154,748.6395328653444,12.959557491459051,0.6331181567834936,31.3131690037033,14,wind_gust,-2
Large,15.207519629340034,-41.69186378007522,750.5297484562078,10.759647986949059,0.5235070311031668,14.915533840453971,14,thrust_var,0
Large,13.991142322119554,-41.347331883847595,749.4845358585119,12.626724971022329,0.5372598227784265,15.81228306008661,14,mass_loss,-2
Large,25.602073547031424,-80.13472930798717,969.1933170133168,19.14595022569051,0.4622584476916493,10.56178736640658,10,thrust_var,0
Large,22.89046420257978,-80.62573873095465,970.4395013432519,19.069372960869874,0.537098200060282,20.45820292904969,10,wind_gust,0
Large,27.260268040497092,-80.4660491252934,969.9917360794907,20.428558023606097,0.4565913576304299,23.456751252670056,10,wind_gust,0
Large,23.882924491462386,-80.74697616482202,966.7809394940823,19.58406526728786,0.4769469972600505,13.336012158850538,10,mass_loss,0
Large,24.89088648915669,-80.61013885840322,967.2761146685116,19.47402756223187,0.6219192245366801,19.92687878336785,10,wind_gust,2
Large,25.357013329424092,-80.19390772913106,964.2637661911069,19.807762361055314,0.4776873342772752,15.145127824629517,10,mass_loss,0
Large,28.984130993517685,-79.57002267587295,970.9737127460731,20.198312165477503,0.543082231910749,14.475629849511773,10,drag_change,0
Large,24.198177246732122,-81.4870293298219,966.5317439928475,16.333357517851585,0.5949829117060412,12.236650480348796,10,thrust_var,0
Large,25.276512299764825,-80.81839417132008,971.7777502447319,19.787355178505962,0.4413459167243595,15.427205709887863,10,mass_loss,0
Large,24.871757050615834,-79.52991734896058,965.8796954282807,19.616671482877216,0.492771215459821,11.960939942734463,10,drag_change,0
Large,38.89153890383619,-63.03541599796558,781.2981856429459,8.742887099940429,0.4858171831718904,10.99215178479281,149,mass_loss,-39
Large,39.11670723563861,-63.074020655835284,779.8319683583683,8.47039934518238,0.42997571839093707,7.789434649323924,149,mass_loss,-69
Large,35.69077892527294,-62.468546673498054,778.8964711629633,7.785695898331767,0.376986381517792,10.02718146339058,149,drag_change,2
Large,39.35498603066253,-62.794692442693346,777.2953240563172,8.278059085990678,0.48573528467130944,26.75705886052521,149,wind_gust,-69
Large,37.12254552150196,-63.38336860513482,781.0406653688989,8.614106948970209,0.3826268678113759,8.100377333427103,149,mass_loss,-30
Large,37.046621132675625,-62.978695335668924,778.9776070963078,8.91302071435902,0.4283145225458019,25.535590119186942,149,wind_gust,-69
Large,37.04023890426349,-62.61749509137361,779.1604502470461,8.630568463909961,0.39129331516593296,7.145820381253813,149,wind_gust,-40
Large,35.915671585654344,-63.716601170049024,781.2695358251615,8.853714771341535,0.4653154191232079,8.630929145281044,149,drag_change,-16
Large,41.24740453616835,-62.90721541609639,779.1334592521247,8.551830112170148,0.44028109848846236,9.74120276703449,149,mass_loss,-26
Large,38.87516531132893,-62.67323606793992,781.2620227549793,8.313317520173864,0.31377904824583636,10.094460859248828,149,drag_change,-29
Medium,6.529538459498253,-65.14517448520988,581.9322311655623,5.370035277196721,0.39721707423413877,0.6047176272974153,110,thrust_var,7
Medium,7.057868965666285,-64.51473764488098,584.6691958408002,6.509098371555631,0.41226633033876076,16.56390249650243,110,wind_gust,-3
Medium,7.380560113538874,-65.9651462247644,579.5634716341534,5.8006346293851285,0.3457874876792269,0.0,110,drag_change,-5
Medium,7.336928870906893,-64.5066357285165,584.1692204203455,5.795119913389524,0.4901286594398262,1.1541430145242975,110,drag_change,-9
Medium,7.16937541051442,-65.12027452749767,583.8289230728134,4.901486486160259,0.365541237695091,0.5494745118324638,110,thrust_var,19
Medium,7.3202370127288585,-65.99339408240778,582.9502171410912,5.941463687750678,0.39662944458313837,0.7277507414526083,110,drag_change,-1
Medium,7.292538554099453,-65.68690899410909,585.5460927167213,4.871998298223747,0.42382927997775544,1.7854159347221445,110,thrust_var,19
Medium,7.051332207379086,-65.1332961819507,580.1331318852082,5.924765549156834,0.42190599911649507,1.1991823396287842,110,mass_loss,-23
Medium,5.959146174059689,-65.5788526790992,581.2325482323621,6.081806159871094,0.39340923909970005,5.248820253933071,110,thrust_var,-1
Medium,7.750736766886807,-65.00580856388439,581.4010720904297,5.865114224837977,0.3447324437879808,19.38604109057919,110,wind_gust,-3
Medium,29.44270747819253,-73.58040525461618,1090.9587265763203,3.03640199761663,0.7702499348219121,13.35326404678781,30,wind_gust,1
Medium,32.118211984062725,-74.08860388482768,1086.903408256626,2.6513238645680888,0.6421900756072002,6.876753969449007,30,thrust_var,0
Medium,30.295827646269135,-74.42318083837225,1093.3934407789295,3.086618526777142,0.5942331638474049,8.281993961693612,30,mass_loss,0
Medium,31.435877641517312,-73.8064241621526,1091.063372958267,2.5705226783221247,0.6880587249084537,6.293347432109738,30,thrust_var,10
Medium,32.484783077961595,-74.31820981497609,1089.5212316322322,2.883164467440877,0.5768192570940707,8.012999043860244,30,thrust_var,10
Medium,29.801036537777076,-73.93761660572693,1087.9218174320877,2.7604862315894287,0.7149500034577867,8.300706457617878,30,thrust_var,10
Medium,33.78679709283706,-73.3834220136031,1089.4480452304633,2.8640978614448684,0.6438849152092573,6.13146573756864,30,thrust_var,10
Medium,33.46320543297934,-72.83117368896438,1086.417838035336,2.6491377520375052,0.6533814371717782,9.533529016020596,30,thrust_var,10
Medium,31.20150830067218,-73.76055915280925,1088.7411448342427,3.0444437294791125,0.6096709883560513,16.94349916818406,30,wind_gust,3
Medium,31.429393434636392,-73.37030591845661,1089.44640940049,3.150729938776897,0.8365332913110457,8.98754599406282,30,drag_change,0
Small,9.052211289926664,-40.08930749470133,926.2688678778729,1.2359274566715572,0.4693347237415367,4.333909540268143,80,thrust_var,10
Small,10.014524906682402,-40.305661419839396,928.1763214558854,1.1475943878827355,0.4768162174397756,6.070192108462093,80,thrust_var,11
Small,10.015610848664027,-39.95549283790251,928.959724290739,1.1204013663058328,0.4518081273196517,7.2989669223642775,80,thrust_var,20
Small,8.659023935671803,-40.02374951448119,926.8936230717877,1.404625965993771,0.4608990510976205,23.961609756013853,80,wind_gust,0
Small,10.07820855449994,-39.09991346388481,931.4301287937169,1.2103851698465231,0.41549975550000484,3.154725268144668,80,thrust_var,0
Small,9.84834308504561,-39.81870612987442,924.4768572175831,1.2883496624989639,0.4887244207312263,5.550970751444649,80,thrust_var,10
Small,9.967077530687293,-39.41262332983963,929.3741852649703,1.3894151275966597,0.4560771771356107,5.530904110922562,80,mass_loss,-9
Small,9.564537743082091,-39.789569384525265,930.007979636842,1.2489733035431072,0.4525183666777073,5.276255032552241,80,thrust_var,10
Small,9.746942614552188,-40.27168888077537,930.8463576559383,1.3757523409459318,0.614827230058776,7.097890269968948,80,drag_change,0
Small,8.867999235806673,-39.45611657107331,928.7427610218509,1.312870213902824,0.48595767837104104,4.130568484649499,80,thrust_var,0
Small,15.585974467426716,-49.213205482152745,922.5912586902671,0.9518106730497229,0.37517950365955666,16.668456322681134,50,thrust_var,11
Small,15.156005314497476,-50.51657532709991,926.3468736359231,1.1841689197098166,0.3882601948533367,11.247333173532203,50,mass_loss,-5
Small,15.609877394543078,-49.647819011444504,924.3187094852225,1.17876351117516,0.39252570976369255,14.391853876376928,50,thrust_var,0
Small,16.826275439939568,-50.61159961131507,922.6661481269084,1.2103231847857954,0.4101404231915771,13.508419401560042,50,mass_loss,-10
Small,15.117569209790478,-50.2481195693505,921.9751252609193,1.0670946987338064,0.42047975035247004,16.09526820375325,50,mass_loss,0
Small,15.937716508099626,-49.96085937673391,923.2748409026449,0.9941336184554571,0.43439580475613465,16.84547669482481,50,thrust_var,11
Small,15.51386551299487,-51.473249640846966,923.987468288111,1.0827386020842746,0.420454971936984,13.39444652429,50,thrust_var,10
Small,16.62893340302222,-50.3524164992219,923.9767505255332,1.1757384766859416,0.4673952418654859,22.891796177308787,50,wind_gust,3
Small,14.668772940002455,-49.51865281502845,924.7516751408181,1.0966145747163158,0.3696031780391004,15.85818072354259,50,mass_loss,0
Small,14.988366080577059,-49.332647776080826,924.219881671683,1.157732233476429,0.47745358619542144,14.726017340631515,50,mass_loss,0
Medium,7.362013027749109,-64.12739236200555,1109.3469942969382,7.8814694984804134,0.6682482226052339,18.326140012266762,139,wind_gust,2
Medium,7.931026509306582,-65.49277935714356,1113.471073653724,7.061054642618513,0.650230868127501,6.8131985066518395,139,thrust_var,12
Medium,8.71318927053474,-64.66866081079084,1112.2651441065032,7.1133186812305995,0.5701174807806858,9.700246468172512,139,mass_loss,-10
Medium,7.913026948845689,-64.3487434781229,1113.4943799785815,7.758942128362079,0.6447071632260253,23.38788563691975,139,wind_gust,1
Medium,7.96627003912497,-64.51344396102498,1116.8418020016309,7.373754557299522,0.5339645447123982,6.939457690193004,139,thrust_var,0
Medium,8.011718965149166,-65.06398840327084,1113.060841305965,6.813370885437924,0.6695223976947393,10.363229086045948,139,thrust_var,14
Medium,8.684116170934205,-65.15706627224135,1113.7014947266011,7.330250632686568,0.7218587973863412,6.460251657692053,139,drag_change,1
Medium,7.676756828455816,-63.85555502213031,1110.9748100894196,6.782387186917377,0.7627465734050988,25.786171102202985,139,wind_gust,0
Medium,8.143922870610794,-65.28602284094487,1114.7756685908168,7.61850439510183,0.6679498981933789,6.358162183883495,139,drag_change,1
Medium,8.126612807271517,-64.49971872278341,1111.7736387341745,7.2814756467814075,0.7385032066664604,20.595632382235515,139,wind_gust,2
Heavy,9.30959506068335,-61.11241138460805,629.0984531517915,81.53410313390609,0.6668609935951642,27.067181658278116,10,wind_gust,0
Heavy,8.263792612788736,-59.11720272406498,625.8806870826398,77.08393745101503,0.6369083504840828,10.301520902670884,10,mass_loss,0
Heavy,8.781559668760954,-58.89937914327296,628.4230155875844,75.8158093575688,0.5447492070509893,9.41765876576821,10,mass_loss,4
Heavy,8.754091924889552,-59.22342595115139,625.3681646889328,65.91878319086379,0.752289839904536,13.43521297441988,10,thrust_var,0
Heavy,8.366865794492194,-59.85656207170443,626.9766895060413,68.58420712800678,0.42962381721282483,13.561412942080793,10,drag_change,2
Heavy,7.875311442721882,-60.359864054507256,624.2615854297792,68.03675982832245,0.6015357274744295,12.509720409264276,10,thrust_var,0
Heavy,9.080702191824443,-59.65235979457003,626.1043632696161,74.04269670570474,0.7168191779229216,15.355502178229813,10,drag_change,0
Heavy,8.440225431628955,-60.02166461618497,625.1564605362839,74.44060208109576,0.5726853306931886,29.22925082276193,10,wind_gust,0
Heavy,8.760308573649928,-60.506084594345836,627.6656341762014,85.96135481032287,0.6183195258742233,10.74335481694004,10,mass_loss,2
Heavy,8.868010596443556,-59.9444424641952,624.9923201164739,69.3822561922313,0.7558667934192858,16.036566698432487,10,thrust_var,0
Heavy,26.16814369475276,-48.076488204731,561.1934708871279,45.69618551633165,0.6290659612145854,16.965689347355593,10,mass_loss,2
Heavy,26.425018402743483,-48.438947754760285,562.7567252232882,44.730009282780216,0.6207706281706618,14.36192828658404,10,mass_loss,2
Heavy,24.899716628289077,-48.29454051048733,562.9711437944344,43.59884454653009,0.6102715671913668,21.20732201828683,10,wind_gust,2
Heavy,26.149177665916,-47.95249898364526,561.2729300740269,42.309551288209484,0.5154473036165151,14.424421391036201,10,thrust_var,0
